,CVE_ENT,CVE_MUN,NOM_MUN,IDMUN,Y,IDH,IRS,c_i,Pob2010,Mun_cov
641,14,92,Teocuitatl√°n de Corona,14_92,NA,0.644,-0.86229,8908.34682,10837,Teocuitatl·n de Corona
642,14,96,Tizap√°n el Alto,14_96,NA,0.657,-0.48662,17145.09455,20857,Tizap·n el Alto
643,14,52,Juchitl√°n,14_52,NA,0.699,-0.92569,4533.499374,5515,Juchitl·n
644,14,3,Ahualulco de Mercado,14_3,NA,0.721,-1.32229,17849.57487,21714,Ahualulco de Mercado
645,14,7,San Juanito de Escobedo,14_7,NA,0.696,-1.18341,7312.785209,8896,San Juanito de Escobedo
646,14,57,La Manzanilla de la Paz,14_57,NA,0.649,-0.93907,3086.725322,3755,La Manzanilla de la Paz
647,14,72,San Diego de Alejandr√≠a,14_72,NA,0.642,-0.79488,5464.038139,6647,San Diego de AlejandrÌa
648,14,124,Zapotlanejo,14_124,NA,0.658,-0.73153,52310.74635,63636,Zapotlanejo
649,14,101,Tonal√°,14_101,4,0.739,-1.21059,393497.0592,478689,Tonal·
650,14,39,Guadalajara,14_39,5,0.8,-1.56937,1229091.277,1495189,Guadalajara
651,14,98,San Pedro Tlaquepaque,14_98,2,0.745,-1.29864,499888.3841,608114,Tlaquepaque
652,14,120,Zapopan,14_120,11,0.816,-1.52703,1022405.63,1243756,Zapopan
653,14,67,Puerto Vallarta,14_67,2,0.758,-1.37674,210177.6343,255681,Puerto Vallarta
654,14,43,La Huerta,14_43,NA,0.689,-0.74741,19258.53551,23428,La Huerta
655,16,84,Tangamandapio,16_84,NA,0.6,0.26887,21979.72903,27822,Tangamandapio
656,16,75,Los Reyes,16_75,NA,0.637,-0.34031,50672.19466,64141,Los Reyes
657,16,93,Tlalpujahua,16_93,1,0.626,0.15167,21794.07609,27587,Tlalpujahua
658,16,95,Tocumbo,16_95,NA,0.633,-0.5431,9088.30432,11504,Tocumbo
659,16,24,Cher√°n,16_24,NA,0.683,0.51763,14331.61758,18141,Cher·n
660,16,78,Santa Ana Maya,16_78,NA,0.647,-0.42977,9968.378296,12618,Santa Ana Maya
661,16,71,Puru√°ndiro,16_71,3,0.661,-0.55817,53592.08103,67837,Puru·ndiro
662,16,91,Ting√ºind√≠n,16_91,NA,0.677,-0.50016,10673.8595,13511,Ting¸indÌn
663,16,39,Huiramba,16_39,NA,0.663,-0.34338,6260.849421,7925,Huiramba
664,16,14,Coahuayana,16_14,NA,0.654,-0.40747,11167.61734,14136,Coahuayana
665,16,85,Tanganc√≠cuaro,16_85,NA,0.629,-0.09768,25815.23994,32677,TangancÌcuaro
666,16,16,Coeneo,16_16,NA,0.642,-0.17385,16188.93708,20492,Coeneo
667,16,42,Ixtl√°n,16_42,NA,0.637,-0.26647,10731.53041,13584,Ixtl·n
668,16,27,Chuc√°ndiro,16_27,NA,0.601,-0.21123,4081.204809,5166,Chuc·ndiro
669,16,94,Tlazazalca,16_94,1,0.592,-0.16519,5443.186437,6890,Tlazazalca
670,16,13,Car√°cuaro,16_13,NA,0.585,0.28844,7277.595567,9212,Car·cuaro
671,16,82,Tac√°mbaro,16_82,2,0.646,-0.34407,55265.3276,69955,Tac·mbaro
672,16,87,Taretan,16_87,NA,0.617,-0.76453,10710.99009,13558,Taretan
673,16,106,Yur√©cuaro,16_106,NA,0.664,-0.38523,23696.42629,29995,YurÈcuaro
674,16,111,Ziracuaretiro,16_111,NA,0.639,-0.26414,12025.57096,15222,Ziracuaretiro
675,16,96,Tumbiscat√≠o,16_96,NA,0.562,0.82334,6233.198982,7890,TumbiscatÌo
676,16,52,L√°zaro C√°rdenas,16_52,NA,0.752,-1.12873,141267.6733,178817,L·zaro C·rdenas
677,16,62,Pajacuar√°n,16_62,NA,0.6,-0.28114,15365.744,19450,Pajacuar·n
678,16,23,Chavinda,16_23,NA,0.632,-0.42903,7880.375139,9975,Chavinda
679,16,100,Tzintzuntzan,16_100,NA,0.675,0.11879,10709.41006,13556,Tzintzuntzan
680,16,45,Jiquilpan,16_45,4,0.704,-0.77447,27017.63903,34199,Jiquilpan
681,16,1,Acuitzio,16_1,NA,0.649,0.01121,8679.867834,10987,Acuitzio
682,16,56,Nahuatzen,16_56,1,0.627,0.93498,21467.8009,27174,Nahuatzen
683,16,10,Arteaga,16_10,NA,0.641,0.22524,17214.37336,21790,Arteaga
684,16,81,Susupuato,16_81,NA,0.528,0.68549,6876.269194,8704,Susupuato
685,16,20,Cuitzeo,16_20,NA,0.619,-0.28327,22299.68411,28227,Cuitzeo
686,16,89,Tepalcatepec,16_89,NA,0.645,-0.38067,18160.01838,22987,Tepalcatepec
687,16,40,Indaparapeo,16_40,1,0.628,-0.0431,12977.53608,16427,Indaparapeo
688,16,113,Jos√© Sixto Verduzco,16_113,NA,0.646,-0.63171,20205.36086,25576,JosÈ Sixto Verduzco
689,16,38,Huetamo,16_38,NA,0.654,0.11053,33130.75611,41937,Huetamo
690,16,105,Vista Hermosa,16_105,NA,0.656,-0.70344,15006.2883,18995,Vista Hermosa
691,16,47,Jungapeo,16_47,NA,0.622,-0.31079,15789.19073,19986,Jungapeo
692,16,101,Tzitzio,16_101,NA,0.56,1.34641,7241.25499,9166,Tzitzio
693,16,57,Nocup√©taro,16_57,NA,0.523,0.6562,6161.30784,7799,NocupÈtaro
694,16,4,Angamacutiro,16_4,NA,0.637,-0.34247,11600.54421,14684,Angamacutiro
695,16,2,Aguililla,16_2,NA,0.601,0.16993,12809.26341,16214,Aguililla
696,16,15,Coalcom√°n de V√°zquez Pallares,16_15,NA,0.637,0.14362,13916.07098,17615,Coalcom·n de V·zquez Pallares
697,16,17,Contepec,16_17,2,0.596,-0.06475,26034.07342,32954,Contepec
698,16,44,Jim√©nez,16_44,NA,0.636,-0.54244,10487.41654,13275,JimÈnez
699,16,61,Ocampo,16_61,NA,0.609,0.65865,17876.40387,22628,Ocampo
700,16,41,Irimbo,16_41,NA,0.611,-0.36019,11665.32524,14766,Irimbo
701,16,32,Erongar√≠cuaro,16_32,NA,0.65,0.10402,11498.6326,14555,ErongarÌcuaro
702,16,21,Charapan,16_21,NA,0.62,1.04446,9608.922588,12163,Charapan
703,16,35,La Huacana,16_35,NA,0.609,0.20235,25878.44094,32757,La Huacana
704,16,74,Cojumatl√°n de R√©gules,16_74,NA,0.633,-0.40535,7884.325201,9980,Cojumatl·n de RÈgules
705,16,51,Marcos Castellanos,16_51,NA,0.697,-0.84132,10294.65348,13031,Marcos Castellanos
706,16,72,Quer√©ndaro,16_72,NA,0.649,-0.42888,10704.66999,13550,QuerÈndaro
707,16,99,Tuzantla,16_99,NA,0.562,0.62949,12881.15455,16305,Tuzantla
708,16,49,Madero,16_49,NA,0.594,0.79244,13767.54863,17427,Madero
709,16,46,Ju√°rez,16_46,NA,0.623,-0.38162,10747.33067,13604,Ju·rez
710,16,109,Zin√°paro,16_109,NA,0.665,-0.67339,2565.170734,3247,Zin·paro
711,16,79,Salvador Escalante,16_79,NA,0.616,0.30661,35721.99726,45217,Salvador Escalante
712,16,112,Zit√°cuaro,16_112,1,0.689,-0.24977,122873.8112,155534,Zit·cuaro
713,16,97,Turicato,16_97,NA,0.572,0.49003,25183.2299,31877,Turicato
714,16,63,Panind√≠cuaro,16_63,NA,0.592,-0.07231,12690.76153,16064,PanindÌcuaro
715,16,12,Buenavista,16_12,NA,0.632,-0.13713,33365.38984,42234,Buenavista
716,16,36,Huandacareo,16_36,NA,0.636,-0.70103,9157.825424,11592,Huandacareo
717,16,48,Lagunillas,16_48,NA,0.653,-0.39611,4349.809074,5506,Lagunillas
718,16,18,Cop√°ndaro,16_18,NA,0.643,-0.48499,7072.192305,8952,Cop·ndaro
719,16,3,√Ålvaro Obreg√≥n,16_3,NA,0.635,-0.53311,16521.53236,20913,¡lvaro ObregÛn
720,16,34,Hidalgo,16_34,NA,0.657,-0.19188,92921.27557,117620,Hidalgo
721,16,92,Tiquicheo de Nicol√°s Romero,16_92,NA,0.565,0.76817,11276.63907,14274,Tiquicheo de Nicol·s Romero
722,16,68,Perib√°n,16_68,NA,0.653,-0.66146,19984.15734,25296,Perib·n
723,16,65,Paracho,16_65,2,0.672,0.37785,27430.02558,34721,Paracho
724,16,54,Morelos,16_54,1,0.653,-0.41687,6391.991503,8091,Morelos
725,16,88,Tar√≠mbaro,16_88,2,0.798,-1.06781,62113.15634,78623,TarÌmbaro
726,16,7,Aporo,16_7,NA,0.633,0.01109,2542.260371,3218,Aporo
727,16,5,Angangueo,16_5,NA,0.667,0.04131,8506.855087,10768,Angangueo
728,16,76,Sahuayo,16_76,3,0.641,-0.88826,57545.30381,72841,Sahuayo
729,16,110,Zinap√©cuaro,16_110,3,0.662,-0.52238,36866.72544,46666,ZinapÈcuaro
730,16,80,Senguio,16_80,NA,0.613,0.09077,14557.56117,18427,Senguio
731,16,6,Apatzing√°n,16_6,1,0.675,-0.44876,97684.26121,123649,Apatzing·n
732,16,104,Villamar,16_104,1,0.64,-0.43228,13423.10316,16991,Villamar
733,16,26,Chinicuila,16_26,NA,0.585,0.3048,4164.156126,5271,Chinicuila
734,16,55,M√∫gica,16_55,NA,0.626,-0.18148,35521.33407,44963,M˙gica
735,16,8,Aquila,16_8,NA,0.551,1.87318,18593.73526,23536,Aquila
736,16,107,Zacapu,16_107,2,0.739,-0.97413,58030.37151,73455,Zacapu
737,16,67,Penjamillo,16_67,NA,0.625,-0.31547,13555.82526,17159,Penjamillo
738,16,59,Nuevo Urecho,16_59,NA,0.595,-0.33894,6509.703373,8240,Nuevo Urecho
739,16,37,Huaniqueo,16_37,NA,0.553,-0.10777,6306.670149,7983,Huaniqueo
740,16,53,Morelia,16_53,4,0.783,-1.30015,576139.559,729279,Morelia
741,16,60,Numar√°n,16_60,NA,0.641,-0.77046,7583.330422,9599,Numar·n
742,16,31,Epitacio Huerta,16_31,NA,0.605,0.01177,12812.42346,16218,Epitacio Huerta
743,16,86,Tanhuato,16_86,NA,0.628,-0.62868,11989.23039,15176,Tanhuato
744,16,43,Jacona,16_43,4,0.66,-0.54013,50569.49303,64011,Jacona
745,16,58,Nuevo Parangaricutiro,16_58,NA,0.655,-0.48214,14879.09628,18834,Nuevo Parangaricutiro
746,16,28,Churintzio,16_28,NA,0.589,-0.73124,4395.629802,5564,Churintzio
747,16,9,Ario,16_9,NA,0.649,-0.13751,27530.35718,34848,Ario
748,16,33,Gabriel Zamora,16_33,1,0.655,-0.33209,16822.52714,21294,Gabriel Zamora
749,16,70,Pur√©pero,16_70,NA,0.685,-0.92377,12091.93202,15306,PurÈpero
750,16,11,Brise√±as,16_11,NA,0.664,-0.73242,8416.003644,10653,BriseÒas
751,16,103,Venustiano Carranza,16_103,NA,0.661,-0.64548,18531.32427,23457,Venustiano Carranza
752,16,98,Tuxpan,16_98,NA,0.65,-0.20123,20560.8665,26026,Tuxpan
753,16,19,Cotija,16_19,NA,0.65,-0.48182,15519.00644,19644,Cotija
754,16,22,Charo,16_22,NA,0.661,-0.49507,17161.44252,21723,Charo
755,16,25,Chilchota,16_25,1,0.651,0.7568,28671.9253,36293,Chilchota
756,16,66,P√°tzcuaro,16_66,NA,0.695,-0.42941,69358.3614,87794,P·tzcuaro
757,16,50,Maravat√≠o,16_50,NA,0.635,-0.19899,63404.82686,80258,MaravatÌo
758,16,30,Ecuandureo,16_30,NA,0.638,-0.42583,10155.61127,12855,Ecuandureo
759,16,108,Zamora,16_108,5,0.71,-0.75027,147022.9147,186102,Zamora
760,16,77,San Lucas,16_77,NA,0.61,0.34405,14584.4216,18461,San Lucas
761,16,102,Uruapan,16_102,2,0.729,-0.87503,249130.4561,315350,Uruapan
762,16,69,La Piedad,16_69,1,0.705,-1.05758,78666.2892,99576,La Piedad
763,16,73,Quiroga,16_73,NA,0.666,-0.0357,20218.00106,25592,Quiroga
764,16,64,Par√°cuaro,16_64,5,0.607,0.06349,20021.28793,25343,Par·cuaro
765,16,83,Tanc√≠taro,16_83,2,0.593,0.02575,23237.42901,29414,TancÌtaro
766,16,29,Churumuco,16_29,NA,0.579,0.73041,11349.32022,14366,Churumuco
767,16,90,Tingambato,16_90,NA,0.687,0.0078,11020.67501,13950,Tingambato
768,17,5,Coatl√°n del R√≠o,17_5,NA,0.665,-0.43395,7331.469078,9471,Coatl·n del RÌo
769,17,6,Cuautla,17_6,5,0.756,-1.11709,135627.1463,175207,Cuautla
770,17,25,Tlaquiltenango,17_25,2,0.705,-0.68968,24410.36278,31534,Tlaquiltenango
771,17,30,Yecapixtla,17_30,3,0.689,-0.40873,36234.68864,46809,Yecapixtla
772,17,4,Ayala,17_4,2,0.696,-0.61538,61049.90395,78866,Ayala
773,17,21,Tetecala,17_21,1,0.677,-0.6858,5760.052941,7441,Tetecala
774,17,28,Xochitepec,17_28,3,0.714,-0.72045,49063.7919,63382,Xochitepec
775,17,2,Atlatlahucan,17_2,NA,0.724,-0.52625,14626.55561,18895,Atlatlahucan
776,17,20,Tepoztl√°n,17_20,2,0.746,-0.67153,32224.86815,41629,Tepoztl·n
777,17,9,Huitzilac,17_9,NA,0.712,-0.70481,13422.83537,17340,Huitzilac
778,17,14,Mazatepec,17_14,NA,0.69,-0.81272,7319.857629,9456,Mazatepec
779,17,23,Tlalnepantla,17_23,NA,0.682,0.19243,5136.905163,6636,Tlalnepantla
780,17,1,Amacuzac,17_1,1,0.689,-0.59348,13175.89855,17021,Amacuzac
781,17,33,Temoac,17_33,NA,0.698,-0.28467,11333.5486,14641,Temoac
782,17,15,Miacatl√°n,17_15,NA,0.653,-0.2048,19344.67451,24990,Miacatl·n
783,17,13,Jonacatepec de Leandro Valle,17_13,4,0.709,-0.53631,11304.90702,14604,Jonacatepec
784,17,26,Tlayacapan,17_26,2,0.74,-0.58255,12805.88037,16543,Tlayacapan
785,17,27,Totolapan,17_27,NA,0.647,-0.06645,8351.728422,10789,Totolapan
786,17,32,Zacualpan de Amilpas,17_32,1,0.741,-0.46735,7034.215976,9087,Zacualpan
787,17,19,Tepalcingo,17_19,NA,0.683,-0.33559,19620.2529,25346,Tepalcingo
788,17,3,Axochiapan,17_3,NA,0.684,-0.24031,26083.18557,33695,Axochiapan
789,17,8,Emiliano Zapata,17_8,1,0.778,-1.10355,64625.45623,83485,Emiliano Zapata
790,17,7,Cuernavaca,17_7,8,0.828,-1.45155,282675.3141,365168,Cuernavaca
791,17,24,Tlaltizap√°n de Zapata,17_24,1,0.722,-0.79552,37838.61683,48881,Tlaltizap·n
792,17,12,Jojutla,17_12,1,0.764,-1.08887,42664.33515,55115,Jojutla
793,17,17,Puente de Ixtla,17_17,2,0.681,-0.42245,47672.74028,61585,Puente de Ixtla
794,17,10,Jantetelco,17_10,3,0.712,-0.56546,12111.5157,15646,Jantetelco
795,17,11,Jiutepec,17_11,4,0.791,-1.3492,152460.6514,196953,Jiutepec
796,17,16,Ocuituco,17_16,1,0.65,-0.17825,13049.7208,16858,Ocuituco
797,17,22,Tetela del Volc√°n,17_22,NA,0.65,0.1926,14814.66109,19138,Tetela del Volc·n
798,17,29,Yautepec,17_29,1,0.709,-0.87894,75727.54994,97827,Yautepec
799,17,18,Temixco,17_18,1,0.712,-0.86255,83699.97102,108126,Temixco
800,17,31,Zacatepec,17_31,1,0.765,-1.28258,27142.14975,35063,Zacatepec
801,18,19,La Yesca,18_19,NA,0.478,1.52848,11345.89654,13600,La Yesca
802,18,10,Rosamorada,18_10,NA,0.691,-0.77683,28692.60439,34393,Rosamorada
803,18,5,Huajicori,18_5,NA,0.63,1.08252,9510.530922,11400,Huajicori
804,18,3,Amatl√°n de Ca√±as,18_3,NA,0.686,-1.1255,9333.668417,11188,Amatl·n de CaÒas
805,18,2,Ahuacatl√°n,18_2,NA,0.722,-1.24205,12704.90135,15229,Ahuacatl·n
806,18,9,Del Nayar,18_9,NA,0.501,3.51601,28615.01848,34300,Del Nayar
807,18,14,Santa Mar√≠a del Oro,18_14,1,0.679,-0.74533,18697.37009,22412,Santa MarÌa del Oro
808,18,16,Tecuala,18_16,5,0.717,-0.88384,33166.72521,39756,Tecuala
809,18,20,Bah√≠a de Banderas,18_20,3,0.752,-1.24608,103618.9029,124205,BahÌa de Banderas
810,18,6,Ixtl√°n del R√≠o,18_6,NA,0.746,-1.25636,22752.69385,27273,Ixtl·n del RÌo
811,18,1,Acaponeta,18_1,6,0.731,-0.93867,30510.4506,36572,Acaponeta
812,18,8,Xalisco,18_8,3,0.762,-1.47102,40963.69205,49102,Xalisco
813,18,13,San Pedro Lagunillas,18_13,NA,0.722,-1.18338,6265.270809,7510,San Pedro Lagunillas
814,18,18,Tuxpan,18_18,NA,0.736,-1.03204,25052.74067,30030,Tuxpan
815,18,11,Ru√≠z,18_11,2,0.667,-0.56681,19579.17984,23469,RuÌz
816,18,17,Tepic,18_17,12,0.813,-1.52224,317225.4274,380249,Tepic
817,18,7,Jala,18_7,4,0.702,-0.4203,14764.68213,17698,Jala
818,18,12,San Blas,18_12,3,0.695,-0.89728,35973.16609,43120,San Blas
819,18,4,Compostela,18_4,8,0.714,-1.04848,58730.86547,70399,Compostela
820,18,15,Santiago Ixcuintla,18_15,11,0.695,-0.93153,77647.64518,93074,Santiago Ixcuintla
821,19,38,Montemorelos,19_38,NA,0.776,-1.27209,54379.23477,59113,Montemorelos
822,19,11,Cerralvo,19_11,NA,0.69,-1.17874,7225.972106,7855,Cerralvo
823,19,32,Lampazos de Naranjo,19_32,NA,0.685,-0.99536,4920.652425,5349,Lampazos de Naranjo
824,19,50,Vallecillo,19_50,NA,0.675,-0.69341,1813.162447,1971,Vallecillo
825,19,33,Linares,19_33,1,0.753,-1.26338,72369.19155,78669,Linares
826,19,15,Doctor Coss,19_15,NA,0.649,-0.76247,1578.582831,1716,Dr. Coss
827,19,5,An√°huac,19_5,NA,0.705,-0.9553,17000.12279,18480,An·huac
828,19,3,Los Aldamas,19_3,NA,0.645,-0.83342,1263.970169,1374,Los Aldamas
829,19,30,Iturbide,19_30,NA,0.675,-0.40747,3273.075589,3558,Iturbide
830,19,13,China,19_13,NA,0.69,-1.0119,9994.01158,10864,China
831,19,16,Doctor Gonz√°lez,19_16,NA,0.66,-0.90789,3077.132616,3345,Dr. Gonz·lez
832,19,22,General Ter√°n,19_22,NA,0.694,-0.86794,13280.88597,14437,Gral. Ter·n
833,19,19,San Pedro Garza Garc√≠a,19_19,NA,0.871,-1.85162,112836.4752,122659,San Pedro Garza GarcÌa
834,19,21,General Escobedo,19_21,7,0.763,-1.56597,329273.4281,357937,Gral. Escobedo
835,19,39,Monterrey,19_39,16,0.809,-1.61697,1044615.229,1135550,Monterrey
836,19,40,Par√°s,19_40,NA,0.7,-1.01794,951.1973466,1034,Par·s
837,19,35,Melchor Ocampo,19_35,1,0.708,-1.34151,792.9710955,862,Melchor Ocampo
838,19,51,Villaldama,19_51,NA,0.705,-1.27233,3783.631225,4113,Villaldama
839,19,42,Los Ramones,19_42,NA,0.68,-0.80698,4929.851625,5359,Los Ramones
840,19,18,Garc√≠a,19_18,NA,0.748,-1.51461,132163.0758,143668,GarcÌa
841,19,48,Santa Catarina,19_48,5,0.765,-1.65664,247417.1009,268955,Santa Catarina
842,19,29,Hualahuises,19_29,3,0.734,-1.24,6360.327325,6914,Hualahuises
843,19,24,General Zaragoza,19_24,NA,0.617,0.24107,5466.165023,5942,Gral. Zaragoza
844,19,14,Doctor Arroyo,19_14,NA,0.62,0.06747,32606.56668,35445,Dr. Arroyo
845,19,25,General Zuazua,19_25,NA,0.741,-1.65783,50791.54652,55213,Gral. Zuazua
846,19,41,Pesquer√≠a,19_41,3,0.698,-1.24659,19173.8939,20843,PesquerÌa
847,19,9,Cadereyta Jim√©nez,19_9,1,0.746,-1.42004,79522.48997,86445,Cadereyta JimÈnez
848,19,34,Mar√≠n,19_34,NA,0.717,-1.39982,5048.521314,5488,MarÌn
849,19,12,Ci√©nega de Flores,19_12,NA,0.73,-1.5385,22561.9595,24526,CiÈnega de Flores
850,19,37,Mina,19_37,NA,0.703,-0.89066,5010.804591,5447,Mina
851,19,46,San Nicol√°s de los Garza,19_46,5,0.849,-1.84414,407775.7267,443273,San Nicol·s de los Garza
852,19,44,Sabinas Hidalgo,19_44,2,0.771,-1.46767,31894.54855,34671,Sabinas Hidalgo
853,19,28,Higueras,19_28,NA,0.711,-1.08948,1466.352583,1594,Higueras
854,19,10,El Carmen,19_10,NA,0.751,-1.39114,14803.35368,16092,Carmen
855,19,1,Abasolo,19_1,NA,0.726,-1.28225,2567.4969,2791,Abasolo
856,19,47,Hidalgo,19_47,NA,0.729,-1.43276,15274.35275,16604,Hidalgo
857,19,17,Galeana,19_17,NA,0.643,-0.48268,36788.5233,39991,Galeana
858,19,23,General Trevi√±o,19_23,NA,0.696,-0.97597,1174.737922,1277,Gral. TreviÒo
859,19,8,Bustamante,19_8,NA,0.702,-1.31986,3470.858403,3773,Bustamante
860,19,2,Agualeguas,19_2,NA,0.699,-1.18841,3167.284782,3443,Agualeguas
861,19,36,Mier y Noriega,19_36,NA,0.546,-0.16421,6526.832857,7095,Mier y Noriega
862,19,4,Allende,19_4,3,0.754,-1.46441,29982.95466,32593,Allende
863,19,31,Ju√°rez,19_31,1,0.754,-1.59157,236391.859,256970,Ju·rez
864,19,7,Aramberri,19_7,NA,0.633,-0.08091,14231.1634,15470,Aramberri
865,19,49,Santiago,19_49,1,0.786,-1.47184,37228.24509,40469,Santiago
866,19,27,Los Herreras,19_27,NA,0.657,-0.85341,1867.437731,2030,Los Herreras
867,19,20,General Bravo,19_20,NA,0.724,-0.88587,5084.398196,5527,Gral. Bravo
868,19,43,Rayones,19_43,NA,0.623,-0.19196,2417.549929,2628,Rayones
869,19,6,Apodaca,19_6,3,0.8,-1.81439,481458.5641,523370,Apodaca
870,19,26,Guadalupe,19_26,13,0.82,-1.71762,623711.3232,678006,Guadalupe
871,19,45,Salinas Victoria,19_45,1,0.676,-0.90462,30044.5893,32660,Salinas Victoria
872,20,440,Santa Mar√≠a Totolapilla,20_440,NA,0.547,0.30624,581.7487462,896,Santa MarÌa Totolapilla
873,20,503,Santiago Zoochila,20_503,NA,0.594,0.03167,242.8281597,374,Santiago Zoochila
874,20,341,San Pedro Yucunama,20_341,NA,0.62,-0.07598,150.6313718,232,San Pedro Yucunama
875,20,540,Villa de Tamazul√°pam del Progreso,20_540,NA,0.72,-0.48934,4583.219195,7059,Villa de Tamazul·pam del Progreso
876,20,356,Santa Ana del Valle,20_356,NA,0.572,0.67009,1294.001396,1993,Santa Ana del Valle
877,20,521,Santo Domingo Tonaltepec,20_521,NA,0.568,1.3453,179.1993906,276,Santo Domingo Tonaltepec
878,20,504,Nuevo Zoqui√°pam,20_504,NA,0.635,-0.23987,1072.599251,1652,Nuevo Zoqui·pam
879,20,244,San Mart√≠n Toxpalan,20_244,NA,0.563,0.0497,2382.183203,3669,San MartÌn Toxpalan
880,20,535,San Vicente Lachix√≠o,20_535,NA,0.576,1.25546,1932.236907,2976,San Vicente LachixÌo
881,20,151,San Francisco Teopan,20_151,NA,0.567,0.76804,255.8136228,394,San Francisco Teopan
882,20,538,Sitio de Xitlapehua,20_538,NA,0.549,0.73005,457.7375737,705,Sitio de Xitlapehua
883,20,552,Tlacotepec Plumas,20_552,NA,0.622,0.15126,331.1293086,510,Tlacotepec Plumas
884,20,152,San Francisco Tlapancingo,20_152,NA,0.504,1.04437,1397.235828,2152,San Francisco Tlapancingo
885,20,302,San Pedro Atoyac,20_302,NA,0.556,1.08094,2685.393766,4136,San Pedro Atoyac
886,20,468,Santiago Jocotepec,20_468,NA,0.547,1.39796,8809.338156,13568,Santiago Jocotepec
887,20,51,Magdalena Teitipac,20_51,NA,0.501,2.11431,2836.025138,4368,Magdalena Teitipac
888,20,370,Santa Catarina Tayata,20_370,NA,0.665,0.41198,440.8564717,679,Santa Catarina Tayata
889,20,556,La Trinidad Vista Hermosa,20_556,NA,0.62,0.20626,161.6690154,249,La Trinidad Vista Hermosa
890,20,111,San Antonio Tepetlapa,20_111,NA,0.586,1.28345,2852.90624,4394,San Antonio Tepetlapa
891,20,72,San Jos√© del Progreso,20_72,2,0.58,1.46466,4271.568081,6579,San JosÈ del Progreso
892,20,364,Santa Catarina Juquila,20_364,NA,0.599,0.91214,9550.808098,14710,Santa Catarina Juquila
893,20,560,Villa D√≠az Ordaz,20_560,NA,0.612,0.916,4008.612454,6174,Villa DÌaz Ordaz
894,20,546,Teotitl√°n del Valle,20_546,NA,0.634,0.36991,3660.602043,5638,Teotitl·n del Valle
895,20,33,Guadalupe Etla,20_33,NA,0.756,-0.86577,1579.681584,2433,Guadalupe Etla
896,20,139,San Francisco Chapulapa,20_139,NA,0.514,1.48232,1386.847457,2136,San Francisco Chapulapa
897,20,313,San Pedro Jocotipac,20_313,NA,0.536,1.41433,541.4938106,834,San Pedro Jocotipac
898,20,203,San Juan Lachigalla,20_203,NA,0.515,2.06571,2132.862312,3285,San Juan Lachigalla
899,20,87,San Agust√≠n Yatareni,20_87,3,0.649,0.3795,2645.788103,4075,San AgustÌn Yatareni
900,20,260,San Miguel Alo√°pam,20_260,NA,0.513,0.47905,1615.391608,2488,San Miguel Alo·pam
901,20,428,Santa Mar√≠a Quiegolani,20_428,NA,0.498,1.0267,1149.213483,1770,Santa MarÌa Quiegolani
902,20,221,San Juan Teposcolula,20_221,NA,0.645,0.72163,870.0260266,1340,San Juan Teposcolula
903,20,287,San Miguel Tulancingo,20_287,NA,0.625,0.47077,224.6485114,346,San Miguel Tulancingo
904,20,16,Coicoy√°n de las Flores,20_16,1,0.384,2.67657,5538.949278,8531,Coicoy·n de las Flores
905,20,323,San Pedro Ocotepec,20_323,NA,0.553,1.51482,1386.198184,2135,San Pedro Ocotepec
906,20,98,San Andr√©s Teotil√°lpam,20_98,NA,0.51,1.80375,2874.332254,4427,San AndrÈs Teotil·lpam
907,20,96,San Andr√©s Sinaxtla,20_96,NA,0.714,-0.95332,501.238875,772,San AndrÈs Sinaxtla
908,20,226,San Lorenzo Albarradas,20_226,NA,0.576,0.68495,1758.231702,2708,San Lorenzo Albarradas
909,20,12,Candelaria Loxicha,20_12,NA,0.548,1.42007,6401.8333,9860,Candelaria Loxicha
910,20,367,Santa Catarina Mechoac√°n,20_367,NA,0.491,1.57507,2949.64794,4543,Santa Catarina Mechoac·n
911,20,186,San Juan Cieneguilla,20_186,NA,0.601,0.1062,392.8102583,605,San Juan Cieneguilla
912,20,400,Santa Mar√≠a Camotl√°n,20_400,NA,0.63,-0.02762,1059.613788,1632,Santa MarÌa Camotl·n
913,20,220,San Juan Tepeuxila,20_220,NA,0.484,0.9081,1800.434457,2773,San Juan Tepeuxila
914,20,224,San Juan Yucuita,20_224,NA,0.695,-0.16591,444.1028375,684,San Juan Yucuita
915,20,516,Santo Domingo Teojomulco,20_516,NA,0.551,0.57691,2967.827588,4571,Santo Domingo Teojomulco
916,20,102,San Andr√©s Zautla,20_102,NA,0.728,-0.12243,2860.048244,4405,San AndrÈs Zautla
917,20,232,San Lucas Ojitl√°n,20_232,NA,0.58,1.41909,13968.46264,21514,San Lucas Ojitl·n
918,20,478,Santiago Nacaltepec,20_478,NA,0.588,0.63955,1242.059544,1913,Santiago Nacaltepec
919,20,192,San Juan Chilateca,20_192,NA,0.742,-0.7345,936.2518883,1442,San Juan Chilateca
920,20,500,Santiago Yosond√∫a,20_500,NA,0.572,1.05104,5118.220275,7883,Santiago Yosond˙a
921,20,119,San Bartolom√© Yucua√±e,20_119,NA,0.582,1.48876,259.0599885,399,San BartolomÈ YucuaÒe
922,20,207,San Juan Mazatl√°n,20_207,NA,0.59,1.57308,11102.57094,17100,San Juan Mazatl·n
923,20,95,San Andr√©s Paxtl√°n,20_95,NA,0.53,2.15023,2590.599885,3990,San AndrÈs Paxtl·n
